Artist ID: 5pKCCKE2ajJHZ9KAiaK11H || Album ID: 7uGmyYwDFJbSc1xs4hkEs2 || Album Name: Rated R || Release Date: 2009-11-20 || No. of Tracks: 13 || Album Type: album
Artist ID: 5pKCCKE2ajJHZ9KAiaK11H || Album ID: 6nT2WJS6WHH86XRgkSK8yC || Album Name: Good Girl Gone Bad: The Remixes || Release Date: 2009-01-01 || No. of Tracks: 12 || Album Type: album
Artist ID: 5pKCCKE2ajJHZ9KAiaK11H || Album ID: 3JSWZWeTHF4HDGt5Eozdy7 || Album Name: Good Girl Gone Bad: Reloaded || Release Date: 2008-06-02 || No. of Tracks: 15 || Album Type: album
Artist ID: 5pKCCKE2ajJHZ9KAiaK11H || Album ID: 5pvFhFt1nzE8sCbm1wjNRv || Album Name: A Girl Like Me || Release Date: 2006-04-10 || No. of Tracks: 14 || Album Type: album
Artist ID: 5pKCCKE2ajJHZ9KAiaK11H || Album ID: 4FyGpObwABjn0o8Tdp7AZz || Album Name: Music Of The Sun || Release Date: 2005-08-29 || No. of Tracks: 13 || Album Type: album

Artist ID: 5YGY8feqx7naU7z4HrwZM6 || Album ID: 0HiZ8fNXwJOQcrf5iflrdz || Album Name: Endless Summer Vacation || Release Date: 2023-03-10 || No. of Tracks: 13 || Album Type: album
Artist ID: 5YGY8feqx7naU7z4HrwZM6 || Album ID: 5G5s00CN4Kmxz340ED2WL2 || Album Name: ATTENTION: MILEY LIVE || Release Date: 2022-04-29 || No. of Tracks: 26 || Album Type: album
Artist ID: 5YGY8feqx7naU7z4HrwZM6 || Album ID: 5BRhg6NSEZOj0BR6Iz56fR || Album Name: Plastic Hearts || Release Date: 2020-11-27 || No. of Tracks: 15 || Album Type: album
Artist ID: 5YGY8feqx7naU7z4HrwZM6 || Album ID: 45wbw92Z6V8G8iPKFzSEPN || Album Name: SHE IS COMING || Release Date: 2019-05-31 || No. of Tracks: 7 || Album Type: album
Artist ID: 5YGY8feqx7naU7z4HrwZM6 || Album ID: 5xG9gJcs9ut3qDWezHUlsX || Album Name: Younger Now || Release Date: 2017-09-29 || No. of Tracks: 11 || Album Type: album
Artist ID: 5YGY8feqx7naU7z4HrwZM6 || Album ID: 6cfcdjtSR9ARnpnpwtEGaS || Album Name: Miley Cyrus & Her Dead Petz || Release Date: 2015-08-30 || No. of Tracks: 23 || Album Type: album
Artist ID: 5YGY8feqx7naU7z4HrwZM6 || Album ID: 3RDqXDc1bAETps54MSSOW0 || Album Name: Bangerz (Deluxe Version) || Release Date: 2013-10-04 || No. of Tracks: 16 || Album Type: album
Artist ID: 5YGY8feqx7naU7z4HrwZM6 || Album ID: 69Pf9ExxwjhVFyosKsKWQu || Album Name: Can't Be Tamed || Release Date: 2010-01-01 || No. of Tracks: 12 || Album Type: album
Artist ID: 5YGY8feqx7naU7z4HrwZM6 || Album ID: 0IuHVgAvbNDJnJepuSZ8Oz || Album Name: The Time Of Our Lives (International Version) || Release Date: 2009-01-01 || No. of Tracks: 8 || Album Type: album
Artist ID: 5YGY8feqx7naU7z4HrwZM6 || Album ID: 0Yu3czJNOQ68fZgkvpjuHL || Album Name: Breakout || Release Date: 2008-01-01 || No. of Tracks: 12 || Album Type: album
Artist ID: 5YGY8feqx7naU7z4HrwZM6 || Album ID: 0lB2NEOuH7WRqaWotxmIDH || Album Name: Meet Miley Cyrus || Release Date: 2007-06-26 || No. of Tracks: 10 || Album Type: album

Artist ID: 1Cs0zKBU1kc0i8ypK3B9ai || Album ID: 5rbJtzuXtpIP0Ykk7ewIit || Album Name: 7 || Release Date: 2018-09-14 || No. of Tracks: 27 || Album Type: album
Artist ID: 1Cs0zKBU1kc0i8ypK3B9ai || Album ID: 7bpWEp24oHgUs08ImjakfU || Album Name: Listen Again || Release Date: 2015-11-27 || No. of Tracks: 46 || Album Type: album
Artist ID: 1Cs0zKBU1kc0i8ypK3B9ai || Album ID: 77UW17CZFyCaRLHdHeofZu || Album Name: Listen || Release Date: 2014-11-21 || No. of Tracks: 18 || Album Type: album
Artist ID: 1Cs0zKBU1kc0i8ypK3B9ai || Album ID: 4cm27QX0Xqgflgtj5ns470 || Album Name: Listen (Track by Track) || Release Date: 2014-10-05 || No. of Tracks: 15 || Album Type: album
Artist ID: 1Cs0zKBU1kc0i8ypK3B9ai || Album ID: 4bTjdxhRRUiWfwj200f9Kl || Album Name: Nothing but the Beat (Ultimate Edition) || Release Date: 2012-12-07 || No. of Tracks: 29 || Album Type: album
Artist ID: 1Cs0zKBU1kc0i8ypK3B9ai || Album ID: 5VCRvTmcCP2XIC7AtcttFx || Album Name: Nothing but the Beat (Bonus Commentary) || Release Date: 2011-08-30 || No. of Tracks: 22 || Album Type: album
Artist ID: 1Cs0zKBU1kc0i8ypK3B9ai || Album ID: 5DJc5qCdB5pPrDO97LXjeW || Album Name: One More Love || Release Date: 2010-11-22 || No. of Tracks: 28 || Album Type: album
Artist ID: 1Cs0zKBU1kc0i8ypK3B9ai || Album ID: 2CuI0AW9srCLZLMStZMift || Album Name: One Love (Club Version) || Release Date: 2009-11-27 || No. of Tracks: 15 || Album Type: album
Artist ID: 1Cs0zKBU1kc0i8ypK3B9ai || Album ID: 6zJcDGIgURV28s5IdA9pSG || Album Name: Pop Life || Release Date: 2007-06-01 || No. of Tracks: 15 || Album Type: album
Artist ID: 1Cs0zKBU1kc0i8ypK3B9ai || Album ID: 2YKWh8IkQkekPgg5RIEtOn || Album Name: Guetta Blaster || Release Date: 2004-06-04 || No. of Tracks: 12 || Album Type: album
Artist ID: 1Cs0zKBU1kc0i8ypK3B9ai || Album ID: 05zYKC8heu3lCOPIEG9oS4 || Album Name: Just a Little More Love || Release Date: 2002-05-20 || No. of Tracks: 14 || Album Type: album

Artist ID: 4q3ewBCX7sLwd24euuV69X || Album ID: 3RQQmkQEvNCY4prGKE6oc5 || Album Name: Un Verano Sin Ti || Release Date: 2022-05-06 || No. of Tracks: 23 || Album Type: album
